Model,Feature,Importance,Saved_At
ridge,hour_sin_x_peak,-0.0017279511309800264,2025-10-02 13:33:01
ridge,rush_zone_effect,-0.0018156542559095248,2025-10-02 13:33:01
ridge,hour_cos,-0.0021415065832716814,2025-10-02 13:33:01
ridge,is_rush_hour,-0.0021695052917065295,2025-10-02 13:33:01
ridge,time_of_day_midday,-0.002350839599382897,2025-10-02 13:33:01
ridge,rolling_mean_168h,-0.10602827700714135,2025-10-02 13:33:01
ridge,rolling_mean_24h,-0.27524907137943494,2025-10-02 13:33:01
ridge,lag_2h,-0.70409873907313,2025-10-02 13:33:01
ridge,ema_24h,-1.4215912028693138,2025-10-02 13:33:01
ridge,lag_3h,-3.4228394905081894,2025-10-02 13:33:01
ridge,rolling_mean_6h,-6.53439867784445,2025-10-02 13:33:01
ridge,lag_1h,-12.787580155185868,2025-10-02 13:33:01
ridge,rolling_mean_3h,-24.072726096962736,2025-10-02 13:33:01
ridge,ema_6h,-29.940603149187055,2025-10-02 13:33:01
