iter	RMSE
0	1604.812778
1	1458.11802
2	1326.363542
3	1207.266198
4	1099.693586
5	1000.222626
6	912.3236556
7	830.981679
8	758.8579031
9	693.530098
10	634.5300794
11	580.4877205
12	532.6431488
13	489.2519763
14	448.7310498
15	412.450441
16	380.2492369
17	352.0170308
18	326.0387282
19	302.6201553
20	281.6167546
21	263.3893792
22	246.6221425
23	231.5778576
24	218.4608046
25	206.5694866
26	196.5426804
27	187.2709666
28	178.7814989
29	171.4653026
30	164.8995974
31	159.3202472
32	154.1899176
33	149.1677761
34	145.0714059
35	141.1450718
36	138.0615049
37	134.9708067
38	132.1844634
39	129.8889524
40	127.797585
41	125.9199777
42	124.3737679
43	122.8204126
44	121.1040155
45	119.5073361
46	118.3696732
47	116.9777903
48	115.7517745
49	114.5330058
50	113.6965898
51	112.8963342
52	111.9778878
53	110.8746561
54	110.2836444
55	109.7582807
56	109.0773174
57	108.3321784
58	107.4621082
59	106.8390893
60	106.3289079
61	105.8441083
62	105.2712563
63	104.4416
64	103.72826
65	103.2384655
66	102.7386702
67	102.0038172
68	101.6130886
69	101.2765907
70	101.0222042
71	100.4419911
72	99.9568446
73	99.59261482
74	99.34789361
75	98.99950286
76	98.6900258
77	98.09776588
78	97.79411112
79	97.47776184
80	97.06096131
81	96.74569895
82	96.51534237
83	96.15852548
84	95.75797256
85	95.34215141
86	94.99051354
87	94.73408072
88	94.32062297
89	93.98586309
90	93.70230538
91	93.29073747
92	93.08692647
93	92.90067856
94	92.24680657
95	91.85808444
96	91.64363869
97	91.40907694
98	91.20227988
99	90.79926412
100	90.59558266
101	90.39786951
102	89.99778715
103	89.87571595
104	89.54086819
105	89.15107088
106	88.85931539
107	88.47017383
108	88.16202595
109	87.89115833
110	87.75095307
111	87.52661697
112	87.350242
113	87.15107884
114	86.97666392
115	86.66503923
116	86.55143646
117	86.37173773
118	86.10349327
119	85.88347281
120	85.61309514
121	85.2899417
122	85.0853912
123	84.93436894
124	84.76825653
125	84.48027445
126	84.21079599
127	84.03542195
128	83.89763116
129	83.79909553
130	83.60325582
131	83.46056394
132	83.18361217
133	82.93733754
134	82.74408923
135	82.64227929
136	82.37263053
137	82.18627757
138	81.988041
139	81.8485611
140	81.62072446
141	81.4899767
142	81.1996289
143	81.04454075
144	80.81821195
145	80.72522902
146	80.57981437
147	80.33709961
148	80.23099658
149	80.10969042
150	80.05926244
151	79.93482847
152	79.69467042
153	79.6568647
154	79.43059926
155	79.24065723
156	78.95798481
157	78.89073821
158	78.82074635
159	78.63263262
160	78.32252789
161	78.20111685
162	77.95447294
163	77.81437224
164	77.69495714
165	77.51831339
166	77.41305607
167	77.31082728
168	77.1550118
169	77.07838362
170	76.97386271
171	76.83250584
172	76.68228474
173	76.47152562
174	76.44123654
175	76.19584297
176	76.08944804
177	75.92407288
178	75.78720331
179	75.48961287
180	75.32983077
181	75.23697011
182	75.11956426
183	74.9482322
184	74.84013355
185	74.63442779
186	74.55730077
187	74.49510103
188	74.39312993
189	74.29865853
190	74.10759414
191	73.96698108
192	73.86776438
193	73.76831231
194	73.67821629
195	73.55036152
196	73.39929402
197	73.25145675
198	73.12469123
199	72.97534337
200	72.89375417
201	72.77289377
202	72.65588917
203	72.53853358
204	72.37580075
205	72.280061
206	72.17247802
207	72.05621589
208	71.8567779
209	71.64263667
210	71.59042789
211	71.51231758
212	71.45088529
213	71.36292613
214	71.1958003
215	71.13973635
216	71.0343778
217	70.85347478
218	70.76146025
219	70.59579818
220	70.41171604
221	70.29937878
222	70.2264088
223	70.14911473
224	70.09567695
225	70.02046823
226	69.90525263
227	69.72088773
228	69.61143502
229	69.51661955
230	69.39478441
231	69.29384328
232	69.23381904
233	69.12526474
234	69.06304416
235	68.94613616
236	68.88833629
237	68.81511488
238	68.70719815
239	68.60757097
240	68.58550066
241	68.44425272
242	68.35962309
243	68.20950287
244	68.14265582
245	68.05221518
246	67.91046226
247	67.83385016
248	67.74295382
249	67.60470684
250	67.53116361
251	67.45075923
252	67.39484964
253	67.32446211
254	67.24063064
255	67.15247586
256	67.08448537
257	67.06122882
258	66.98502675
259	66.93907142
260	66.84373513
261	66.78988987
262	66.70660457
263	66.57684313
264	66.48763367
265	66.39855549
266	66.34426022
267	66.29239883
268	66.27898009
269	66.21074198
270	66.14861951
271	66.03882577
272	65.97232164
273	65.82768925
274	65.79916388
275	65.74557955
276	65.62809004
277	65.57551767
278	65.49802138
279	65.44709302
280	65.39685994
281	65.29177621
282	65.22616956
283	65.10330091
284	65.02706198
285	64.98783739
286	64.90258222
287	64.86004619
288	64.8077059
289	64.78371024
290	64.70083911
291	64.58614186
292	64.50757863
293	64.48290088
294	64.39555308
295	64.36582158
296	64.29619375
297	64.24710913
298	64.17882734
299	64.08445854
300	64.03303396
301	63.96496834
302	63.91121465
303	63.81573797
304	63.73750756
305	63.67729039
306	63.56865184
307	63.49338948
308	63.42592521
309	63.36347183
310	63.31398169
311	63.23651102
312	63.18590726
313	63.13204437
314	63.09817082
315	63.0132205
316	62.96962889
317	62.87404841
318	62.82059732
319	62.73576624
320	62.68749387
321	62.61137336
322	62.52979052
323	62.44252498
324	62.39370609
325	62.33765871
326	62.28668163
327	62.2540261
328	62.18755164
329	62.16912926
330	62.06798369
331	62.02229128
332	61.99337823
333	61.92248988
334	61.88448595
335	61.81626012
336	61.7719244
337	61.72450587
338	61.64233007
339	61.60073532
340	61.51518403
341	61.47911142
342	61.42361612
343	61.36069664
344	61.30771268
345	61.23219959
346	61.1679367
347	61.12780027
348	61.07283961
349	61.02605387
350	60.98987155
351	60.93012362
352	60.90801706
353	60.87008339
354	60.78765613
355	60.7280915
356	60.69026625
357	60.62675017
358	60.55540393
359	60.49657262
360	60.42941472
361	60.39394415
362	60.35545716
363	60.3114435
364	60.26159809
365	60.22673441
366	60.18280861
367	60.1468882
368	60.04649076
369	59.98182967
370	59.95748131
371	59.87812786
372	59.80161056
373	59.74773651
374	59.69381384
375	59.60883862
376	59.52246501
377	59.45660715
378	59.40196888
379	59.32068736
380	59.2617613
381	59.1856376
382	59.12620922
383	59.06704487
384	58.97319761
385	58.87696846
386	58.79893704
387	58.74041989
388	58.72277014
389	58.66481237
390	58.60840951
391	58.566332
392	58.50788677
393	58.45483115
394	58.41543318
395	58.35426236
396	58.282395
397	58.2350012
398	58.1754082
399	58.14218398
400	58.10570262
401	58.05676234
402	58.00996481
403	57.97982065
404	57.91777767
405	57.87105418
406	57.82834688
407	57.78560234
408	57.70771557
409	57.67410572
410	57.61709904
411	57.5705603
412	57.52547588
413	57.48904392
414	57.44647093
415	57.37660918
416	57.31013666
417	57.2511029
418	57.21477625
419	57.18337816
420	57.16660315
421	57.13836016
422	57.09442621
423	57.0267906
424	56.98624471
425	56.93742176
426	56.86119931
427	56.75808623
428	56.71566785
429	56.68144092
430	56.63617694
431	56.60960414
432	56.56480289
433	56.54137412
434	56.50566742
435	56.4496875
436	56.40457664
437	56.36850777
438	56.31361946
439	56.24311789
440	56.19369292
441	56.14708657
442	56.13780376
443	56.11345383
444	56.07459731
445	56.05735345
446	56.02274766
447	55.97607492
448	55.94098052
449	55.91020332
450	55.88988733
451	55.85151043
452	55.79770443
453	55.73788417
454	55.7008876
455	55.67188342
456	55.64059305
457	55.616531
458	55.56863747
459	55.5368209
460	55.50167555
461	55.47821625
462	55.45352658
463	55.41022459
464	55.38196553
465	55.34489055
466	55.29218516
467	55.25148179
468	55.22716732
469	55.16188615
470	55.13310842
471	55.0953497
472	55.05880024
473	55.01028146
474	54.99086969
475	54.95963182
476	54.8987316
477	54.86108273
478	54.83864019
479	54.807927
480	54.77717571
481	54.76008751
482	54.71906602
483	54.68222918
484	54.66199811
485	54.61868815
486	54.57801865
487	54.49643562
488	54.44472546
489	54.41162078
490	54.38281277
491	54.34695423
492	54.29303921
493	54.26580104
494	54.22231029
495	54.18907577
496	54.14006141
497	54.099434
498	54.05281233
499	54.0023151
500	53.9855055
501	53.94897684
502	53.92659427
503	53.87703465
504	53.85280085
505	53.81824162
506	53.78951089
507	53.74400742
508	53.69760384
509	53.65313455
510	53.63065594
511	53.60006795
512	53.56788477
513	53.52470044
514	53.45802223
515	53.42624305
516	53.40564946
517	53.36271983
518	53.31914552
519	53.29575002
520	53.25945118
521	53.19968678
522	53.16805759
523	53.1450293
524	53.11870738
525	53.07513294
526	53.01944982
527	52.99479918
528	52.95091284
529	52.9332042
530	52.87778589
531	52.84214351
532	52.80551429
533	52.78724898
534	52.76380973
535	52.74875008
536	52.71558821
537	52.69904754
538	52.66726978
539	52.6357213
540	52.61674151
541	52.59980923
542	52.56909411
543	52.51901299
544	52.50049232
545	52.44011859
546	52.37076102
547	52.35481708
548	52.33044534
549	52.30042378
550	52.25591518
551	52.23304027
552	52.2044392
553	52.17946149
554	52.16244211
555	52.14390296
556	52.11242349
557	52.09379906
558	52.05827465
559	52.01986791
560	51.97897972
561	51.92150553
562	51.89985027
563	51.8794149
564	51.82937231
565	51.7922525
566	51.76826959
567	51.73040123
568	51.68721565
569	51.63549723
570	51.56300145
571	51.55035951
572	51.5192329
573	51.48232291
574	51.46066074
575	51.4126494
576	51.37663015
577	51.33404181
578	51.28726981
579	51.269527
580	51.22826011
581	51.19090242
582	51.16092792
583	51.14251158
584	51.12054552
585	51.08654434
586	51.04948643
587	51.01755757
588	50.9976566
589	50.96525744
590	50.92521584
591	50.90459313
592	50.86778349
593	50.84354617
594	50.81163912
595	50.78743294
596	50.75502681
597	50.73260619
598	50.71274007
599	50.67612173
600	50.63168661
601	50.59580606
602	50.57694799
603	50.5504951
604	50.5157041
605	50.49356087
606	50.46617185
607	50.43222706
608	50.38648188
609	50.37024575
610	50.34103772
611	50.30055771
612	50.23740846
613	50.20375835
614	50.17476293
615	50.14860317
616	50.11066406
617	50.09319961
618	50.05972688
619	50.03300707
620	50.00902222
621	49.99421018
622	49.97661836
623	49.95284206
624	49.93726698
625	49.91160832
626	49.90208284
627	49.84065748
628	49.80903681
629	49.76634701
630	49.74352514
631	49.72711853
632	49.70813316
633	49.69013081
634	49.66314302
635	49.63659506
636	49.58455107
637	49.54913957
638	49.52907601
639	49.50385633
640	49.49322021
641	49.45895802
642	49.4489602
643	49.42211526
644	49.39924026
645	49.37903302
646	49.35361743
647	49.32552253
648	49.30569621
649	49.2892898
650	49.26058244
651	49.24069843
652	49.2229386
653	49.2049913
654	49.17658377
655	49.15187669
656	49.13209177
657	49.10095367
658	49.08780921
659	49.05324719
660	49.04441164
661	49.01978967
662	48.97569931
663	48.95066875
664	48.92906347
665	48.90054246
666	48.88137317
667	48.8434605
668	48.82502215
669	48.80528225
670	48.77986263
671	48.75660248
672	48.73570951
673	48.7252563
674	48.70962767
675	48.67746707
676	48.64874311
677	48.63139907
678	48.59639135
679	48.58309355
680	48.55902208
681	48.51805599
682	48.49384437
683	48.43418042
684	48.39741381
685	48.37860609
686	48.35906596
687	48.33769847
688	48.32810294
689	48.30925978
690	48.25587236
691	48.23148336
692	48.22346339
693	48.19412116
694	48.17780108
695	48.13193242
696	48.12458204
697	48.0861305
698	48.06908509
699	48.04486497
700	48.00803006
701	47.99723105
702	47.97949818
703	47.9572696
704	47.94235049
705	47.91837847
706	47.87975962
707	47.85202925
708	47.83194078
709	47.78553145
710	47.76740342
711	47.75357353
712	47.73819866
713	47.70167184
714	47.68878615
715	47.67419792
716	47.65195215
717	47.62165705
718	47.60207578
719	47.56485329
720	47.52895167
721	47.49934733
722	47.48032159
723	47.46656992
724	47.44175793
725	47.43083517
726	47.41348349
727	47.38707235
728	47.3758523
729	47.34857602
730	47.32140493
731	47.29017733
732	47.26622906
733	47.24282923
734	47.22537905
735	47.20485594
736	47.18409524
737	47.16447789
738	47.1526883
739	47.14036866
740	47.11938526
741	47.10615983
742	47.08999904
743	47.05964093
744	47.04448233
745	47.02742957
746	47.00739734
747	46.99529876
748	46.96163173
749	46.94413971
750	46.93100248
751	46.90606925
752	46.89339373
753	46.84978489
754	46.82824015
755	46.79554812
756	46.77435237
757	46.75200886
758	46.72513111
759	46.69757451
760	46.67603307
761	46.64039012
762	46.62604187
763	46.61814547
764	46.5999755
765	46.5751248
766	46.55075424
767	46.52998627
768	46.50876615
769	46.4900172
770	46.47635591
771	46.43134845
772	46.39820413
773	46.38037097
774	46.35908942
775	46.35050211
776	46.30875254
777	46.28955883
778	46.2724628
779	46.25182082
780	46.23206955
781	46.21768649
782	46.18828404
783	46.14585809
784	46.11649669
785	46.09902974
786	46.07984978
787	46.06820135
788	46.04510157
789	46.01293851
790	45.98885122
791	45.96541993
792	45.9463443
793	45.9077473
794	45.8771859
795	45.85444623
796	45.83683306
797	45.81075477
798	45.80317645
799	45.78550784
800	45.76362996
801	45.73766005
802	45.72244573
803	45.69724303
804	45.67860476
805	45.65548152
806	45.63410014
807	45.62651038
808	45.6133879
809	45.60545595
810	45.58094711
811	45.56753167
812	45.54396259
813	45.51698565
814	45.49823222
815	45.48266285
816	45.47289266
817	45.44692389
818	45.42514384
819	45.40906161
820	45.37408252
821	45.34189596
822	45.33324579
823	45.31683333
824	45.29511525
825	45.2765353
826	45.25281466
827	45.2415495
828	45.22806412
829	45.20593091
830	45.17755441
831	45.1338325
832	45.08994129
833	45.05112221
834	45.02062021
835	44.99571106
836	44.96099215
837	44.95196684
838	44.92428143
839	44.89491855
840	44.87369937
841	44.85909398
842	44.84092761
843	44.80008108
844	44.78753224
845	44.75635932
846	44.73279408
847	44.70284283
848	44.68203001
849	44.67266108
850	44.65070472
851	44.61356463
852	44.59512962
853	44.57845275
854	44.55279738
855	44.53470062
856	44.52673439
857	44.49086504
858	44.47566529
859	44.45826519
860	44.44003797
861	44.41409653
862	44.3937633
863	44.36631727
864	44.34294843
865	44.31630831
866	44.30548579
867	44.29463849
868	44.28747069
869	44.27448671
870	44.23276232
871	44.21684533
872	44.20491123
873	44.19097633
874	44.17569375
875	44.1524943
876	44.1410761
877	44.10139958
878	44.09664163
879	44.0502957
880	44.01792664
881	44.00524391
882	43.98800707
883	43.97219295
884	43.95014331
885	43.93378161
886	43.92205719
887	43.90169715
888	43.88016719
889	43.85511537
890	43.81839406
891	43.79566043
892	43.77896654
893	43.7609719
894	43.72107383
895	43.70270186
896	43.67137785
897	43.65355044
898	43.61552564
899	43.60350195
900	43.5857893
901	43.57432203
902	43.54624315
903	43.52718522
904	43.51003139
905	43.50296917
906	43.48216101
907	43.4558208
908	43.44377548
909	43.42626496
910	43.40085699
911	43.38676181
912	43.35869155
913	43.33782731
914	43.32103813
915	43.30278146
916	43.28488156
917	43.27317399
918	43.25280142
919	43.22822179
920	43.21669935
921	43.20229813
922	43.19388369
