pickup_datetime,pickup_zone,pickup_borough,service_type,pickup_date,pickup_hour,total_trips,hour,dayofweek,dayofmonth,month,weekofyear,is_weekend,is_night,is_rush_hour,is_business_hours,lag_1h,lag_2h,lag_3h,lag_24h,lag_168h,rolling_mean_3h,rolling_std_3h,rolling_min_3h,rolling_max_3h,ema_3h,rolling_mean_6h,rolling_std_6h,rolling_min_6h,rolling_max_6h,ema_6h,rolling_mean_12h,rolling_std_12h,rolling_min_12h,rolling_max_12h,ema_12h,rolling_mean_24h,rolling_std_24h,rolling_min_24h,rolling_max_24h,ema_24h,rolling_mean_168h,rolling_std_168h,rolling_min_168h,rolling_max_168h,ema_168h,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos,month_sin,month_cos,zone_target_encoded,zone_mean,zone_std,zone_cv,zone_median,zone_peak_hour,zone_off_peak_hour,zone_peak_demand,zone_off_peak_demand,zone_hour_variance,zone_weekend_ratio,zone_weekend_mean,zone_weekday_mean,zone_rush_hour_ratio,is_zone_peak_hour,is_zone_off_peak_hour,weekend_zone_effect,rush_zone_effect,hour_sin_x_peak,hour_cos_x_peak,time_volatility,service_type_green_trip,service_type_yellow_trip,pickup_borough_Bronx,pickup_borough_Brooklyn,pickup_borough_EWR,pickup_borough_Manhattan,pickup_borough_Queens,pickup_borough_Staten Island,pickup_borough_Unknown
2025-08-25 16:00:00,East Harlem North,Manhattan,yellow_trip,2025-08-25 00:00:00,16,29.0,16,0,25,8,35,0,0,1,1,20.0,25.0,22.0,25.0,21.334801762114537,24.666666666666668,4.50924975282291,20.0,29.0,25.379286024476734,22.833333333333332,3.6560452221856656,19.0,29.0,24.05960878336659,23.583333333333332,7.15361743625156,7.0,34.0,22.638120987585964,20.875,10.476941555044874,1.0,42.0,21.901138195272033,22.53846153846154,11.069492031983845,1.0,42.0,22.462278754912187,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.8660254037844385,-0.5000000000000004,15.978378378378379,15.978378378378379,11.412337691632242,0.6721688866450062,14.0,8,0,26.154054054054054,5.237837837837838,7.023782221099069,0.9654134860141809,16.278044871794872,15.861215538847118,1.6819161625836898,0,0,0.0,1.6819161625836898,-22.650075222762194,-13.07702702702704,0.6721688866450062,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-08-25 17:00:00,East Harlem North,Manhattan,yellow_trip,2025-08-25 00:00:00,17,19.0,17,0,25,8,35,0,0,1,1,29.0,20.0,25.0,24.0,21.334801762114537,22.666666666666668,5.507570547286115,19.0,29.0,22.189643012238367,22.833333333333332,3.6560452221856656,19.0,29.0,22.614006273505485,24.583333333333332,5.195423393952044,19.0,34.0,22.078400954143856,20.666666666666668,10.461800770532712,1.0,42.0,21.668097786407053,22.484848484848484,10.992644287805751,1.0,42.0,22.386988522891166,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.8660254037844385,-0.5000000000000004,15.978378378378379,15.978378378378379,11.412337691632242,0.6721688866450062,14.0,8,0,26.154054054054054,5.237837837837838,7.023782221099069,0.9654134860141809,16.278044871794872,15.861215538847118,1.6819161625836898,0,0,0.0,1.6819161625836898,-25.26287627297112,-6.769167295829979,0.6721688866450062,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-08-25 18:00:00,East Harlem North,Manhattan,yellow_trip,2025-08-25 00:00:00,18,28.0,18,0,25,8,35,0,0,1,0,19.0,29.0,20.0,42.0,21.334801762114537,25.333333333333332,5.507570547286115,19.0,29.0,25.09482150611918,23.833333333333332,4.167333280008531,19.0,29.0,24.15286162418173,25.0,5.257029925382162,19.0,34.0,22.989428741771352,20.083333333333332,9.573135721185189,1.0,34.0,22.176555596890314,22.567164179104477,10.929836673759635,1.0,42.0,22.507850362294725,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.8660254037844385,-0.5000000000000004,15.978378378378379,15.978378378378379,11.412337691632242,0.6721688866450062,14.0,8,0,26.154054054054054,5.237837837837838,7.023782221099069,0.9654134860141809,16.278044871794872,15.861215538847118,1.6819161625836898,0,0,0.0,1.6819161625836898,-26.154054054054054,-4.804421787303623e-15,0.6721688866450062,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-08-25 19:00:00,East Harlem North,Manhattan,yellow_trip,2025-08-25 00:00:00,19,23.0,19,0,25,8,35,0,0,1,0,28.0,19.0,29.0,29.0,21.334801762114537,23.333333333333332,4.50924975282291,19.0,28.0,24.04741075305959,24.0,4.09878030638384,19.0,29.0,23.82347258866313,24.083333333333332,4.440686542607674,19.0,34.0,22.99105510814829,19.833333333333332,9.40705871264703,1.0,34.0,22.242659076562322,22.573529411764707,10.84809107145789,1.0,42.0,22.518345759772828,-0.9659258262890684,0.2588190451025203,0.0,1.0,-0.8660254037844385,-0.5000000000000004,15.978378378378379,15.978378378378379,11.412337691632242,0.6721688866450062,14.0,8,0,26.154054054054054,5.237837837837838,7.023782221099069,0.9654134860141809,16.278044871794872,15.861215538847118,1.6819161625836898,0,0,0.0,1.6819161625836898,-25.262876272971123,6.76916729582997,0.6721688866450062,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-08-25 20:00:00,East Harlem North,Manhattan,yellow_trip,2025-08-25 00:00:00,20,21.0,20,0,25,8,35,0,0,0,0,23.0,28.0,19.0,25.0,21.334801762114537,24.0,3.6055512754640096,21.0,28.0,22.523705376529797,23.333333333333332,4.226897995772626,19.0,29.0,23.016766134692716,23.0,3.2192602199319427,19.0,29.0,22.684735916473,19.666666666666668,9.34678120213476,1.0,34.0,22.142929990174746,22.55072463768116,10.769696363467999,1.0,42.0,22.486270526755472,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.8660254037844385,-0.5000000000000004,15.978378378378379,15.978378378378379,11.412337691632242,0.6721688866450062,14.0,8,0,26.154054054054054,5.237837837837838,7.023782221099069,0.9654134860141809,16.278044871794872,15.861215538847118,1.6819161625836898,0,0,0.0,0.0,-22.650075222762194,13.07702702702703,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-08-25 21:00:00,East Harlem North,Manhattan,yellow_trip,2025-08-25 00:00:00,21,20.0,21,0,25,8,35,0,0,0,0,21.0,23.0,28.0,24.0,21.334801762114537,21.333333333333332,1.527525231651994,20.0,23.0,21.2618526882649,23.333333333333332,4.226897995772626,19.0,29.0,22.154832953301067,22.666666666666668,3.312053286059398,19.0,29.0,22.27169617460039,19.5,9.301706248341471,1.0,34.0,21.970993808830258,22.514285714285716,10.695716137094337,1.0,42.0,22.43423125539799,-0.7071067811865477,0.7071067811865474,0.0,1.0,-0.8660254037844385,-0.5000000000000004,15.978378378378379,15.978378378378379,11.412337691632242,0.6721688866450062,14.0,8,0,26.154054054054054,5.237837837837838,7.023782221099069,0.9654134860141809,16.278044871794872,15.861215538847118,1.6819161625836898,0,0,0.0,0.0,-18.49370897714114,18.493708977141132,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-08-25 22:00:00,East Harlem North,Manhattan,yellow_trip,2025-08-25 00:00:00,22,15.0,22,0,25,8,35,0,0,0,0,20.0,21.0,23.0,27.0,21.334801762114537,18.666666666666668,3.2145502536643407,15.0,21.0,18.130926344132448,21.0,4.3358966777357475,15.0,28.0,20.110594966557432,21.916666666666668,3.941811612428815,15.0,29.0,21.152965786182573,19.0,9.203024077655835,1.0,34.0,21.41181293302506,22.408450704225352,10.656423233750662,1.0,42.0,22.28003058470813,-0.5000000000000004,0.8660254037844384,0.0,1.0,-0.8660254037844385,-0.5000000000000004,15.978378378378379,15.978378378378379,11.412337691632242,0.6721688866450062,14.0,8,0,26.154054054054054,5.237837837837838,7.023782221099069,0.9654134860141809,16.278044871794872,15.861215538847118,1.6819161625836898,0,0,0.0,0.0,-13.07702702702704,22.65007522276219,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-08-25 23:00:00,East Harlem North,Manhattan,yellow_trip,2025-08-25 00:00:00,23,11.0,23,0,25,8,35,0,0,0,0,15.0,20.0,21.0,21.0,21.334801762114537,15.333333333333334,4.50924975282291,11.0,20.0,14.565463172066224,19.666666666666668,5.988878581726842,11.0,28.0,17.50756783317692,21.25,5.011350752405605,11.0,29.0,19.590961716570416,18.583333333333332,9.333980308839156,1.0,34.0,20.576805303135508,22.25,10.666189836760022,1.0,42.0,22.04812614980266,-0.25881904510252157,0.9659258262890681,0.0,1.0,-0.8660254037844385,-0.5000000000000004,15.978378378378379,15.978378378378379,11.412337691632242,0.6721688866450062,14.0,8,0,26.154054054054054,5.237837837837838,7.023782221099069,0.9654134860141809,16.278044871794872,15.861215538847118,1.6819161625836898,0,0,0.0,0.0,-6.7691672958300035,25.262876272971113,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-08-26 00:00:00,East Harlem North,Manhattan,yellow_trip,2025-08-26 00:00:00,0,8.0,0,1,26,8,35,0,1,0,0,11.0,15.0,20.0,10.0,21.334801762114537,11.333333333333334,3.511884584284268,8.0,15.0,11.282731586033112,16.333333333333332,5.988878581726834,8.0,23.0,14.791119880782226,20.083333333333332,6.287915297447844,8.0,29.0,17.807727821187193,18.5,9.422452371630868,1.0,34.0,19.568369168169,22.054794520547944,10.722368119132629,1.0,42.0,21.76181082497931,0.0,1.0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,15.978378378378379,15.978378378378379,11.412337691632242,0.6721688866450062,14.0,8,0,26.154054054054054,5.237837837837838,7.023782221099069,0.9654134860141809,16.278044871794872,15.861215538847118,1.6819161625836898,0,1,0.0,0.0,0.0,26.154054054054054,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-08-26 01:00:00,East Harlem North,Manhattan,yellow_trip,2025-08-26 00:00:00,1,8.0,1,1,26,8,35,0,1,0,0,8.0,11.0,15.0,8.0,21.334801762114537,9.0,1.7320508075689214,8.0,11.0,9.641365793016556,13.833333333333334,5.7763887219149606,8.0,21.0,12.850799914814635,18.916666666666668,7.140897999721327,8.0,29.0,16.298840162759806,18.5,9.422452371630868,1.0,34.0,18.64096066826091,21.864864864864863,10.773285483940107,1.0,42.0,21.483707769458622,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,15.978378378378379,15.978378378378379,11.412337691632242,0.6721688866450062,14.0,8,0,26.154054054054054,5.237837837837838,7.023782221099069,0.9654134860141809,16.278044871794872,15.861215538847118,1.6819161625836898,0,0,0.0,0.0,6.769167295829981,25.26287627297112,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
